date,title,subtitle,link,icon
2026-02-17,TUNA Competition @ Cafe de Knoop,, https://www.eventbrite.nl/e/tuna-newbie-of-the-week-comedy-contest-tickets-1982684316162,mic
2026-02-18,Open Mic Comedy @ Cafe De Buurvrouw,,https://www.eventbrite.nl/e/english-comedy-open-mic-at-cafe-de-buurvrouw-pay-what-you-can-tickets-1980185943462,mic
2026-02-19,That Comedy Thing @ Oosterbar,,https://www.eventbrite.nl/e/that-comedy-thing-tickets-1982455332265,mic
2026-02-26,That Comedy Thing @ Oosterbar,,https://www.eventbrite.nl/e/that-comedy-thing-tickets-1982461979146,mic
2026-03-04,Open Mic Comedy @ Cafe De Buurvrouw,,https://www.eventbrite.nl/e/english-comedy-open-mic-at-cafe-de-buurvrouw-pay-what-you-can-tickets-1980185943462,mic
